,nome,porcentagem_desconto,preco,tipo
403,dead rising 3  apocalypse edition,70,25.49,padrao
404,i am alive,75,11.24,padrao
405,assassins creed revelations,70,17.99,padrao
406,dragon ball xenoverse  bundle,85,18.89,pacote
407,blackguards franchise bundle,0,28.99,pacote
408,dragon ball fighterz  fighterz pass 3,50,39.95,dlc
409,doom eternal year one pass,60,47.6,dlc
410,destiny 2 pacote de renegados,60,15.19,dlc
411,assassins creed odyssey  season pass,60,39.99,dlc
412,american truck simulator  new mexico,0,31.99,dlc
413,american truck simulator  heavy cargo pack,0,12.19,dlc
414,cities skylines  snowfall,75,10.49,dlc
415,cities skylines  after dark,75,11.74,dlc
416,euro truck simulator 2  flip paint designs,0,4.49,dlc
417,euro truck simulator 2 halloween paint jobs pack,0,4.49,dlc
418,the last of us  part i  digital deluxe edition,10,268.9,padrao
419,destiny 2 the witch queen,50,44.99,dlc
420,elypse,0,46.99,padrao
421,ea  gift card digital r$55,0,55.0,padrao
422,riders republic  deluxe edition,75,79.99,padrao
423,riders republic  ultimate edition,75,99.99,padrao
424,lego star wars™ the skywalker saga deluxe edition,60,99.99,padrao
425,castlevania advance collection,0,99.0,padrao
426,jurassic world evolution 2  deluxe edition,0,127.99,padrao
427,world war z aftermath  deluxe edition,0,94.49,padrao
428,sid meiers civilization vi anthology,0,230.99,padrao
429,holy potatoes! a weapon shop?!  dlc bundle,0,23.99,padrao
430,assassins creed syndicate  gold edition,75,44.99,padrao
431,far cry 4  gold edition,75,44.99,padrao
432,transport fever 2,50,53.99,padrao
433,returnal,14,214.91,padrao
434,broken sword 2  the smoking mirror remastered,80,1.99,padrao
435,broken sword 3  the sleeping dragon,80,1.99,padrao
436,quake,60,11.99,padrao
437,children of morta,0,47.49,padrao
438,phoenix wright ace attorney trilogy,55,31.49,padrao
439,ea  gift card digital r$79,0,79.0,padrao
440,far cry 6  game of the year edition,70,119.99,padrao
441,ghostwire tokyo deluxe edition,60,111.6,padrao
442,monster hunter rise  deluxe edition,50,84.12,padrao
443,the crew 2  special edition,80,35.99,padrao
444,back 4 blood deluxe,85,62.99,padrao
445,going under  deluxe edition,0,71.98,padrao
446,serious sam 4 deluxe edition,0,93.99,padrao
447,assassins creed odyssey  gold edition,80,59.99,padrao
448,broken sword directors cut,80,1.69,padrao
449,journey,50,19.99,padrao
450,one punch man a hero nobody knows,90,15.99,padrao
451,yookalaylee and the impossible lair,0,57.99,padrao
452,holy potatoes! a spy story?!,0,18.99,padrao
453,dungeon rushers,90,2.79,padrao
454,street fighter v,0,39.99,padrao
455,one piece pirate warriors 3,85,11.99,padrao
456,zombi,75,14.99,padrao
457,valiant hearts the great war,75,11.24,padrao
458,munin,0,10.49,padrao
459,the wild eight,85,11.99,padrao
460,age of wonders 4,0,165.99,padrao
461,batman  the enemy within  the telltale series,50,14.49,padrao
462,immortals fenyx rising,80,49.98,padrao
463,broken sword 4  the angel of death,80,3.99,padrao
464,one step from eden,0,37.99,padrao
465,golf gang,0,29.99,padrao
466,what remains of edith finch,70,14.99,padrao
467,samorost 2,0,10.99,padrao
468,mechwarrior 5 mercenaries,50,28.99,padrao
469,narita boy,0,74.99,padrao
470,going under,0,59.99,padrao
471,rogue heroes ruins of tasos,0,59.99,padrao
472,creaks,0,44.99,padrao
473,skelattack,0,89.9,padrao
474,neon abyss,0,59.99,padrao
475,monster train,75,11.87,padrao
476,no mans sky,0,162.0,padrao
477,black future 88,80,7.59,padrao
478,barotrauma,0,99.99,padrao
479,cities skylines  deluxe edition,70,32.39,padrao
480,the escapists,0,47.49,padrao
481,quake ii,60,7.19,padrao
482,lost planet 3,80,9.19,padrao
483,tom clancys ghost recon breakpoint  year 1 pass,65,41.99,dlc
484,children of morta paws and claws,0,4.49,dlc
485,golf with your friends  caddy pack,0,4.49,dlc
486,planet coaster  magnificent rides collection,0,21.99,dlc
487,dead cells the bad seed,40,6.53,dlc
488,american truck simulator  washington,0,31.99,dlc
489,south park the fractured but whole  season pass,80,17.99,dlc
490,for honor year 1 heroes bundle,70,26.99,dlc
491,naruto shippuden ultimate ninja storm 4  season pass,50,24.95,dlc
492,euro truck simulator 2  christmas paint jobs pack,0,4.49,dlc
493,bioshock infinite season pass,75,7.49,dlc
494,bioshock infinite columbias finest,75,1.99,dlc
495,hifi rush deluxe edition,15,122.4,padrao
496,elden ring deluxe edition,10,293.69,padrao
497,assassins creed origins  deluxe edition,80,41.99,padrao
498,euro truck simulator 2 gold edition,0,64.99,padrao
499,pokemon sword expansion pass,0,149.0,dlc
500,monster hunter world iceborne  deluxe edition,50,54.99,dlc
501,cities skylines  parklife,75,11.74,dlc
502,american truck simulator  oregon,0,31.99,dlc
503,dragon ball xenoverse 2  super pass,50,63.72,dlc
504,fallout 4  contraptions workshop,60,5.99,dlc
505,fallout 4  wasteland workshop,60,6.32,dlc
506,euro truck simulator 2 ice cold paint jobs pack,0,4.49,dlc
507,assassins creed valhalla  ragnarök edition,70,110.99,padrao
508,far cry 6  deluxe edition,75,78.74,padrao
509,riders republic  gold edition,75,87.49,padrao
510,marvels midnight suns  legendary edition  steam,50,249.75,padrao
511,watch dogs legion  gold edition,80,69.99,padrao
512,the crew 2  new gold edition,80,51.99,padrao
513,overcooked! all you can eat,0,120.0,padrao
514,ragnarök  pacote de 4.000 rops,0,7.9,padrao
515,rollercoaster tycoon 3 complete edition,0,37.99,padrao
516,dead island definitive edition,0,34.99,padrao
517,armored core vi fires of rubicon,10,229.99,prevenda
518,seraphs last stand,0,2.07,padrao
519,ark survival evolved,0,37.99,padrao
520,dome keeper,25,29.99,padrao
521,911 operator,80,5.59,padrao
522,potion permit,0,49.99,padrao
523,marvels spiderman miles morales,0,199.9,padrao
524,dayz,0,119.99,padrao
525,donut county,70,10.49,padrao
526,"warhammer 40,000 chaos gate  daemonhunters",0,84.99,padrao
527,beyond the wire,75,16.49,padrao
528,atomicrops,60,18.79,padrao
529,heave ho,0,32.99,padrao
530,kao the kangaroo round 2,0,4.49,padrao
531,pax nova,0,73.99,padrao
532,bionic commando rearmed,80,3.39,padrao
533,planet coaster,0,81.99,padrao
534,naruto ultimate ninja storm,75,19.97,padrao
535,fallout 4 vr,75,49.99,padrao
536,holy potatoes! a weapon shop?!,0,18.99,padrao
537,for honor,75,22.49,padrao
538,umbrella corps deluxe edition,75,13.74,padrao
539,far cry new dawn,80,25.99,padrao
540,deadrising 4,75,17.49,padrao
541,zone of the enders 2nd runner mars,0,149.9,padrao
542,"warhammer 40,000 mechanicus  omnissiah edition",75,17.25,padrao
543,absolver,0,88.99,padrao
544,dishonored death of the outsider,80,17.99,padrao
545,batman arkham vr,85,13.49,padrao
546,resident evil 7 biohazard,60,27.99,padrao
547,umbrella corps,75,9.99,padrao
548,worms world party remastered,0,27.99,padrao
549,fire!,0,19.99,padrao
550,1954 alcatraz,0,19.99,padrao
551,child of light,70,13.49,padrao
552,rayman origins,70,17.99,padrao
553,tom clancys splinter cell,75,7.49,padrao
554,grand theft auto v premium online edition,0,82.42,pacote
555,dragon ball fighterz  fighterz pass 2,50,49.95,dlc
556,dead cells  the queen and the sea,20,8.71,dlc
557,dead cells fatal falls,30,7.62,dlc
558,conan exiles  debaucheries of derketo pack,25,18.74,dlc
559,planet coaster  classic rides collection,0,21.99,dlc
560,planet coaster  vintage pack,0,21.99,dlc
561,"warhammer 40,000 mechanicus  heretek",50,9.5,dlc
562,frostpunk  season pass,0,78.02,dlc
563,overcooked! 2  season pass,0,37.99,dlc
564,overcooked! 2  surf n turf,0,12.39,dlc
565,watch_dogs® 2  season pass,85,17.99,dlc
566,injustice 2  fighter pack 2,85,7.49,dlc
567,the escapists 2  season pass,0,19.99,dlc
568,fallout 4  vaulttec workshop,60,5.99,dlc
569,the escapists  alcatraz,0,4.29,dlc
570,assassins creed syndicate  season pass,75,22.49,dlc
571,worms revolution funfair,0,10.49,dlc
572,worms revolution mars pack,0,10.49,dlc
573,worms revolution medieval tales,0,10.49,dlc
574,the evil within  the consequence,0,17.99,dlc
575,far cry 4  season pass,70,26.99,dlc
576,watch dogs season pass,75,14.99,dlc
577,f.e.a.r. 2 reborn,0,16.99,dlc
578,armored core vi fires of rubicon  deluxe edition,10,269.49,prevenda
579,assassins creed chronicles russia,70,8.99,padrao
580,annas quest,0,36.99,padrao
581,a new beginning,0,16.99,padrao
582,rogue warrior,60,7.19,padrao
583,blackguards  deluxe edition,0,23.99,padrao
