nome,porcentagem_desconto,preço,tipo
The Elder Scrolls V: Skyrim Anniversary Upgrade,-50%,"R$ 39,50",DLC
Gotham Knights - Deluxe Edition,-65%,"R$ 139,99",Padrão
Injustice 2 - Legendary Edition,-85%,"R$ 41,99",Padrão
Assassin’s Creed Rogue Deluxe Edition,-70%,"R$ 26,99",Padrão
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,-75%,"R$ 19,97",Padrão
Crypt of the NecroDancer,0,"R$ 27,99",Padrão
MY HERO ONE'S JUSTICE 2,-85%,"R$ 23,98",Padrão
Euro Truck Simulator 2 - Heavy Cargo Pack,0,"R$ 12,49",DLC
Euro Truck Simulator 2 - Scandinavia,0,"R$ 44,99",DLC
Dishonored: Definitive Edition,-75%,"R$ 14,99",Padrão
Enigma do Medo,-9%,"R$ 49,99",Pré-Venda
Euro Truck Simulator 2 - Special Transport,0,"R$ 12,19",DLC
LEGO Marvel Super Heroes 2,-90%,"R$ 8,99",Padrão
South Park: The Fractured but Whole,-80%,"R$ 29,99",Padrão
Hotline Miami 2: Wrong Number,0,"R$ 46,99",Padrão
Resident Evil Village,-50%,"R$ 69,95",Padrão
MONOPOLY PLUS,-60%,"R$ 17,99",Padrão
The Escapists 2,0,"R$ 59,99",Padrão
Dishonored,-75%,"R$ 7,49",Padrão
Enigma do Medo - Bundle do Medo,-12%,"R$ 105,00",Pré-Venda
Tom Clancy's Ghost Recon Breakpoint,-80%,"R$ 35,80",Padrão
DRAGON BALL FighterZ,-85%,"R$ 22,48",Padrão
LEGO Star Wars: The Force Awakens - Season Pass,-94%,"R$ 2,00",DLC
Batman Arkham Asylum GOTY,-85%,"R$ 13,49",Padrão
ULTIMATE MARVEL VS. CAPCOM 3,-70%,"R$ 16,49",Padrão
Dishonored 2,-80%,"R$ 17,99",Padrão
Assassin’s Creed Syndicate,-75%,"R$ 22,49",Padrão
South Park: The Stick of Truth,-75%,"R$ 22,49",Padrão
Euro Truck Simulator 2 - Cabin Accessories,0,"R$ 11,49",DLC
DRAGON BALL FighterZ - FighterZ Edition,-85%,"R$ 35,98",Padrão
Accel World VS. Sword Art Online Deluxe Edition,-80%,"R$ 18,19",Padrão
One Piece Pirate Warriors 3 - Gold Edition,-85%,"R$ 15,59",Padrão
Middle-earth Shadow of Mordor - GOTY Edition Upgrade,-75%,"R$ 4,99",DLC
The Elder Scrolls V: Skyrim Anniversary Edition,-60%,"R$ 71,60",Padrão
Watch_Dogs 2: Deluxe Edition,-85%,"R$ 26,99",Padrão
Resident Evil: Revelations 2 Deluxe Edition,-60%,"R$ 29,99",Padrão
ONE PIECE WORLD SEEKER - Deluxe Edition,-90%,"R$ 34,99",Padrão
Assassin's Creed: Origins,-85%,"R$ 26,99",Padrão
Assassin's Creed: Odyssey - Ultimate Edition,-80%,"R$ 65,99",Padrão
Mega Man X Legacy Collection 2,-60%,"R$ 15,99",Padrão
Witch It,0,"R$ 59,99",Padrão
Hatred,0,"R$ 17,99",Padrão
METAL GEAR SURVIVE,0,"R$ 79,99",Padrão
Silence,0,"R$ 37,99",Padrão
Euro Truck Simulator 2 - Wheel Tuning Pack,0,"R$ 6,49",DLC
The Evil Within Season Pass,-60%,"R$ 11,99",DLC
Xbox Game Pass Ultimate - 3 Meses,0,"R$ 134,99",Padrão
RAGE: The Scorchers,-60%,"R$ 3,59",DLC
Hogwarts Legacy - Deluxe Edition,-10%,"R$ 269,98",Padrão
Watch Dogs Legion - Ultimate Edition,-80%,"R$ 79,99",Padrão
Watch Dogs Legion - Deluxe Edition,-85%,"R$ 41,24",Padrão
Planet Zoo - Deluxe Edition,0,"R$ 108,99",Padrão
Assassin's Creed: Revelations Gold Edition,-67%,"R$ 29,69",Padrão
Aspire: Ina's Tale,-80%,"R$ 5,79",Padrão
Townscaper,-30%,"R$ 8,67",Padrão
The Suicide of Rachel Foster,0,"R$ 49,99",Padrão
Digimon Story Cyber Sleuth: Complete Edition,-75%,"R$ 32,49",Padrão
Post Scriptum,-75%,"R$ 14,72",Padrão
Marvel vs. Capcom: Infinite,-80%,"R$ 17,99",Padrão
The Escapists + The Escapists: The Walking Dead Deluxe Bundle,0,"R$ 45,99",Padrão
Fallout: A Post Nuclear Role Playing Game,-75%,"R$ 4,99",Padrão
Fallout Tactics: Brotherhood of Steel,-75%,"R$ 4,99",Padrão
QUAKE III Arena + Team Arena,-60%,"R$ 13,19",Padrão
Pacote Black Legends,-85%,"R$ 71,99",Pacote
Alien Breed: Trilogy,0,"R$ 39,99",Pacote
Destiny 2: Lightfall + Annual Pass,-33%,"R$ 200,99",DLC
Destiny 2: Bungie 30th Anniversary Pack,-50%,"R$ 37,49",DLC
ONE PUNCH MAN: A HERO NOBODY KNOWS - DELUXE EDITION,-90%,"R$ 22,99",Padrão
Contra Anniversary Collection,0,"R$ 79,00",Padrão
Assassin's Creed: Origins - Gold Edition,-80%,"R$ 59,99",Padrão
One Piece: Burning Blood - Gold Edition,-85%,"R$ 32,98",Padrão
Tom Clancy's Splinter Cell: Conviction Deluxe Edition,-75%,"R$ 14,99",Padrão
Miasma Chronicles,-13%,"R$ 129,99",Padrão
Riders Republic,-75%,"R$ 62,47",Padrão
Golf Club Wasteland,-80%,"R$ 4,13",Padrão
Don't Starve Together,0,"R$ 27,99",Padrão
Horizon Chase Turbo,0,"R$ 49,99",Padrão
SUPER DRAGON BALL HEROES WORLD MISSION,-90%,"R$ 19,99",Padrão
Metal Gear Solid V: The Phantom Pain,0,"R$ 129,99",Padrão
NecroVisioN,0,"R$ 16,99",Padrão
Dead Rising 2,-70%,"R$ 10,49",Padrão
Assassin's Creed Valhalla - Season Pass,-60%,"R$ 63,99",DLC
Euro Truck Simulator 2 - Mighty Griffin Tuning Pack,0,"R$ 9,99",DLC
Euro Truck Simulator 2 - Schwarzmüller Trailer Pack,0,"R$ 6,29",DLC
Euro Truck Simulator 2 - Prehistoric Paint Jobs Pack,0,"R$ 4,49",DLC
Immortals Fenyx Rising -  Gold Edition,-80%,"R$ 69,99",Padrão
Far Cry 5 – Gold Edition,-80%,"R$ 51,99",Padrão
Kingdom Two Crowns: Norse Lands Edition,-60%,"R$ 18,89",Padrão
Worms Rumble - Deluxe Edition,0,"R$ 54,49",Padrão
Castlevania Anniversary Collection,0,"R$ 119,00",Padrão
Sword Art Online: Hollow Realization Deluxe Edition,-80%,"R$ 18,19",Padrão
Mortal Kombat X - Premium Edition,-85%,"R$ 25,34",Padrão
Worms Ultimate Mayhem Deluxe Edition,0,"R$ 31,99",Padrão
Police Stories,-70%,"R$ 17,99",Padrão
Stranded: Alien Dawn,-15%,"R$ 86,49",Padrão
Far Cry 6,-75%,"R$ 62,49",Padrão
Outer Wilds,-40%,"R$ 35,99",Padrão
Scott Pilgrim vs. The World: The Game - Complete Edition,-67%,"R$ 19,79",Padrão
TOKYO GHOUL:re [CALL to EXIST],-90%,"R$ 15,99",Padrão
Far Cry Primal,-75%,"R$ 22,49",Padrão
